mode,mtu,drop_frags,trials,successes,success_rate,p50_rtt_ms
vanilla,1500,none,10,10,1.00,1.70
pq,1500,none,10,10,1.00,2.09
vanilla,1500,drop_frags,10,10,1.00,2.58
pq,1500,drop_frags,10,10,1.00,2.09
vanilla,1400,none,10,10,1.00,1.71
pq,1400,none,10,10,1.00,3.26
vanilla,1400,drop_frags,10,10,1.00,2.50
pq,1400,drop_frags,10,10,1.00,3.27
vanilla,1300,none,10,10,1.00,2.64
pq,1300,none,10,10,1.00,3.10
vanilla,1300,drop_frags,10,10,1.00,1.71
pq,1300,drop_frags,10,10,1.00,2.12
vanilla,1280,none,10,10,1.00,2.26
pq,1280,none,10,10,1.00,2.10
vanilla,1280,drop_frags,10,10,1.00,1.76
pq,1280,drop_frags,10,10,1.00,3.13
