mode,delay_ms,loss_pct,trials,successes,success_rate,p50_rtt_ms,p95_rtt_ms
vanilla,0,0,20,20,1.00,1.71,2.53
pq,0,0,20,20,1.00,2.09,2.13
vanilla,0,0.1,20,20,1.00,2.52,2.73
pq,0,0.1,20,20,1.00,3.07,3.32
vanilla,0,1,20,20,1.00,1.81,2.70
pq,0,1,20,20,1.00,3.27,3.43
vanilla,10,0,20,20,1.00,42.6,42.7
pq,10,0,20,20,1.00,43.3,43.5
vanilla,10,0.1,20,20,1.00,42.7,42.7
pq,10,0.1,20,20,1.00,43.3,43.5
vanilla,10,1,20,20,1.00,42.7,42.8
pq,10,1,20,20,1.00,43.3,43.5
vanilla,50,0,20,20,1.00,202,203
pq,50,0,20,20,1.00,203,203
vanilla,50,0.1,20,20,1.00,202,203
pq,50,0.1,20,20,1.00,203,203
vanilla,50,1,20,19,0.95,202,303
pq,50,1,20,19,0.95,203,1319
vanilla,100,0,20,20,1.00,403,403
pq,100,0,20,20,1.00,403,403
vanilla,100,0.1,20,20,1.00,403,403
pq,100,0.1,20,19,0.95,403,603
vanilla,100,1,20,19,0.95,403,603
pq,100,1,20,20,1.00,403,403
